text,intent,encoded_intent
want fly boston arrive denver morning,atis_flight,4
flights available pittsburgh baltimore thursday morning,atis_flight,4
arrival time san francisco flight leaving washington,atis_flight_time,5
cheapest airfare tacoma orlando,atis_airfare,2
round trip fares pittsburgh philadelphia dollars,atis_airfare,2
need flight tomorrow columbus minneapolis,atis_flight,4
kind aircraft used flight cleveland dallas,atis_aircraft,1
show flights pittsburgh los angeles thursday,atis_flight,4
flights boston washington,atis_flight,4
kind ground transportation available denver,atis_ground_service,6
show flights dallas san francisco,atis_flight,4
show flights san diego newark way houston,atis_flight,4
cheapest flight boston bwi,atis_flight,4
flights baltimore pm,atis_flight,4
show first class fares boston denver,atis_airfare,2
show ground transportation denver,atis_ground_service,6
flights denver pittsburgh leaving pm pm,atis_flight,4
need information flights tuesday leaving baltimore dallas dallas boston boston baltimore,atis_flight,4
please give flights boston pittsburgh thursday next week,atis_flight,4
would like fly denver pittsburgh united airlines,atis_flight,4
show flights san diego newark,atis_flight,4
please list first class flights united denver baltimore,atis_flight,4
kinds planes used american airlines,atis_aircraft,1
like information ticket denver pittsburgh atlanta,atis_airfare,2
like book flight atlanta denver,atis_flight,4
airline serves denver pittsburgh atlanta,atis_airline,3
show flights boston pittsburgh wednesday next week leave boston pm,atis_flight,4
atlanta ground transportation,atis_ground_service,6
also need service dallas boston arriving noon,atis_flight,4
show cheapest round trip fare baltimore dallas,atis_airfare,2
show flights new york milwaukee northwest airlines departing,atis_flight,4
flights new york miami,atis_flight,4
please find flight delta philadelphia san francisco give flight numbers,atis_flight,4
need flight dallas san francisco,atis_flight,4
fares flights pittsburgh philadelphia,atis_airfare,2
show airlines first class flights,atis_airline,3
flights louis burbank sunday evening,atis_flight,4
like arrange flight pittsburgh atlanta,atis_flight,4
show flights baltimore san francisco pm pm friday,atis_flight,4
would like list round trip flights indianapolis orlando florida twenty seventh twenty eighth december,atis_flight,4
airline arrivals atlanta,atis_airline,3
airlines fly new york milwaukee los angeles,atis_airline,3
pittsburgh denver,atis_flight,4
airlines serve atlanta,atis_airline,3
show information ground transportation dallas,atis_ground_service,6
fare code h,atis_abbreviation,0
show flights boston dallas fort worth direct connecting arrive noon,atis_flight,4
need flight charlotte newark leaving today evening,atis_flight,4
times planes leaving san francisco going pittsburgh july seventh,atis_flight_time,5
flights newark cleveland,atis_flight,4
flights go boston pittsburgh next tuesday,atis_flight,4
us air flights atlanta denver,atis_flight,4
booking class c,atis_abbreviation,0
like know shortest trip boston san francisco,atis_flight,4
would like see information flights san francisco leaving pm pittsburgh monday,atis_flight,4
least expensive flight denver atlanta,atis_flight,4
need know information flights leaving dallas tuesday evening returning atlanta,atis_flight,4
flight goes denver baltimore first class united airlines arriving may seventh,atis_flight,4
could please tell airlines fly toronto san diego,atis_airline,3
flights burbank tacoma washington,atis_flight,4
ground transportation philadelphia airport city proper,atis_ground_service,6
airlines first class flights today,atis_airline,3
find latest flight san francisco atlanta serves meal,atis_flight,4
would like make reservation flight denver philadelphia coming sunday,atis_flight,4
show flights boston denver wednesday,atis_flight,4
show flights boston baltimore,atis_flight,4
fare code q mean,atis_abbreviation,0
please give flights san francisco washington dc,atis_flight,4
need information denver pittsburgh,atis_flight,4
seattle salt lake city,atis_flight,4
earliest flight boston bwi serves snack,atis_flight,4
types aircraft delta fly,atis_aircraft,1
cost round trip flight pittsburgh atlanta beginning april twenty fifth returning may sixth,atis_airfare,2
give flights leaving denver august ninth coming back boston,atis_flight,4
list flights fly general mitchell international,atis_flight,4
flights fly denver san francisco monday tuesday wednesday thursday friday,atis_flight,4
list flights indianapolis seattle,atis_flight,4
flight meal oakland philadelphia saturday,atis_flight,4
show flights twa atlanta morning,atis_flight,4
want find first flight baltimore boston serves meal,atis_flight,4
airlines airline arrivals atlanta,atis_airline,3
display flights baltimore boston july twenty ninth,atis_flight,4
want travel atlanta baltimore early morning first flight,atis_flight,4
need flight san jose houston leaving sunday fourth,atis_flight,4
flights available pm san francisco boston,atis_flight,4
flights depart baltimore friday arrive san francisco pm,atis_flight,4
show flights boston san francisco,atis_flight,4
list delta airlines flights boston philadelphia,atis_flight,4
show fares dallas san francisco,atis_airfare,2
nonstop flights boston washington arrive pm,atis_flight,4
ground transportation san jose,atis_ground_service,6
please tell many nonstop flights boston atlanta,atis_quantity,7
earliest flight san francisco atlanta delta meal served,atis_flight,4
canadian airlines international fly,atis_flight,4
flights denver pittsburgh arrive morning,atis_flight,4
find earliest flight boston atlanta,atis_flight,4
list nonstop flights houston dallas arrive midnight,atis_flight,4
show flights boston san francisco stop atlanta,atis_flight,4
show flights san francisco philadelphia stopping dallas,atis_flight,4
show flights baltimore dallas,atis_flight,4
show list ground transportation denver,atis_ground_service,6
like flight columbus phoenix stopping cincinnati serving dinner available,atis_flight,4
also show flights san francisco pittsburgh tuesday,atis_flight,4
show flights dallas oakland,atis_flight,4
give cheapest flight charlotte long beach,atis_flight,4
show flights san francisco pittsburgh,atis_flight,4
find flight united boston san francisco stopover denver,atis_flight,4
show last flight love field,atis_flight,4
flights go newark boston pm,atis_flight,4
flights boston dallas,atis_flight,4
earliest flight departing san francisco arriving boston november ninth,atis_flight,4
earliest flight flying pittsburgh atlanta july fifth,atis_flight,4
please list available flights next saturday philadelphia dallas,atis_flight,4
flights leave pittsburgh arrive los angeles pm thursday,atis_flight,4
transportation time airport boston,atis_ground_service,6
airline smallest plane leaving pittsburgh arriving baltimore july fourth,atis_airline,3
nonstop flights america west southwest air kansas city burbank saturday may twenty two,atis_flight,4
classes service american airlines,atis_flight,4
would like find flights friday june eleventh petersburg milwaukee milwaukee tacoma thank,atis_flight,4
flights boston washington dc november tenth,atis_flight,4
flights denver san francisco,atis_flight,4
flight san francisco atlanta type aircraft used,atis_aircraft,1
flight one way fare dollars denver pittsburgh,atis_flight,4
flights leave baltimore boston friday,atis_flight,4
okay need get flight houston seattle,atis_flight,4
please list flights denver boston,atis_flight,4
find flights nonstop boston dallas leave afternoon,atis_flight,4
would like information flights leaving boston atlanta,atis_flight,4
show latest nonstop flight denver washington dc,atis_flight,4
flights dallas baltimore,atis_flight,4
would like nonstop flight new york las vegas march second,atis_flight,4
want go denver oakland,atis_flight,4
show night fares philadelphia san francisco,atis_airfare,2
kinds ground transportation available dallas fort worth,atis_ground_service,6
